Timestamp,Sensor,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Temp
2026/04/13 14:47:10.00,IMU,-24.90,-12.21,-971.19,-0.33,-0.93,-1.74,10.20,40.50,-32.25,26.2
2026/04/13 14:47:10.10,IMU,-15.14,-2.93,-980.96,-0.18,-1.34,0.60,8.70,40.50,-32.25,26.0
2026/04/13 14:47:10.20,IMU,-19.04,-21.97,-971.68,-1.13,-1.13,-1.12,7.50,39.15,-32.85,26.0
2026/04/13 14:47:10.30,IMU,-12.21,-14.65,-964.36,-0.16,1.21,0.11,9.30,39.90,-32.10,26.2
2026/04/13 14:47:10.40,IMU,-20.02,-16.60,-972.17,1.54,1.05,0.37,9.45,38.55,-31.95,26.1
2026/04/13 14:47:10.50,IMU,-25.88,-15.14,-973.63,-0.39,-0.60,0.76,9.15,39.75,-31.95,25.9
2026/04/13 14:47:10.60,IMU,-12.70,-4.39,-973.63,-1.11,1.27,1.50,9.90,40.05,-31.95,26.1
2026/04/13 14:47:10.71,IMU,-19.53,-19.04,-971.68,-1.02,2.51,-0.04,8.40,37.50,-31.65,26.1
2026/04/13 14:47:10.81,IMU,-16.60,-9.77,-966.80,-1.60,-2.21,0.26,9.60,38.85,-32.55,26.3
2026/04/13 14:47:10.91,IMU,-18.55,-8.79,-924.32,-2.87,1.05,1.97,10.20,37.95,-32.25,26.3
2026/04/13 14:47:11.01,IMU,-13.67,-7.32,-958.01,-1.94,-1.77,3.37,9.15,39.30,-33.00,26.3
2026/04/13 14:47:11.11,IMU,-20.51,-16.11,-983.89,-1.50,-1.35,-2.59,9.30,41.10,-31.80,25.9
2026/04/13 14:47:11.21,IMU,-16.60,-7.32,-972.66,-0.94,-1.84,1.92,9.00,40.35,-32.10,26.2
2026/04/13 14:47:11.31,IMU,-21.97,-11.23,-973.63,-1.57,-0.11,0.46,8.25,40.65,-31.35,26.3
2026/04/13 14:47:11.41,IMU,-17.58,-15.14,-972.66,-0.54,-1.21,-0.40,9.60,38.10,-31.80,26.2
2026/04/13 14:47:11.51,IMU,-15.63,-20.02,-986.33,-1.63,-2.43,1.57,9.00,38.85,-31.80,26.0
2026/04/13 14:47:11.61,IMU,-20.02,-4.88,-968.26,-2.21,2.29,-1.14,10.20,38.55,-33.75,26.3
2026/04/13 14:47:11.71,IMU,-21.97,-2.44,-971.68,0.37,-0.87,2.46,9.45,38.55,-32.25,26.3
2026/04/13 14:47:11.81,IMU,-4.39,-11.72,-974.12,0.12,-2.47,0.76,9.30,39.60,-31.05,26.0
2026/04/13 14:47:11.91,IMU,-21.00,-18.55,-972.17,0.42,1.04,-1.55,9.00,38.40,-31.80,25.9
2026/04/13 14:47:12.01,IMU,-20.02,-2.93,-969.73,-0.46,-1.82,-0.40,10.20,38.55,-33.30,26.2
2026/04/13 14:47:12.11,IMU,-25.88,-18.07,-959.96,-1.10,0.88,0.81,9.15,40.50,-31.95,26.1
2026/04/13 14:47:12.21,IMU,-22.95,-7.81,-973.63,-1.19,1.40,1.66,8.70,38.55,-32.70,26.3
