Timestamp,Sensor,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Temp
2026/04/13 14:47:10.00,IMU,-11.23,-19.53,-998.54,1.44,-2.87,-2.05,8.55,46.65,-34.65,27.4
2026/04/13 14:47:10.10,IMU,-5.37,-33.69,-1009.28,-1.25,0.59,-0.40,7.65,44.85,-34.80,27.1
2026/04/13 14:47:10.20,IMU,-13.18,-31.74,-973.14,-0.84,1.79,-0.62,7.65,46.80,-34.50,27.0
2026/04/13 14:47:10.30,IMU,-25.39,-15.14,-991.70,-1.29,-1.91,0.82,7.20,44.40,-33.60,27.3
2026/04/13 14:47:10.40,IMU,-17.58,-20.51,-973.14,-1.17,-1.27,1.86,8.40,43.80,-35.55,27.5
2026/04/13 14:47:10.50,IMU,-16.11,-28.81,-968.26,-0.15,-2.43,-0.67,6.60,45.60,-36.15,27.1
2026/04/13 14:47:10.61,IMU,-26.37,-28.32,-966.31,1.53,-0.95,-0.67,9.00,44.70,-35.25,27.3
2026/04/13 14:47:10.71,IMU,-22.95,-24.41,-976.07,-2.18,-0.01,-1.02,7.65,46.05,-33.30,27.1
2026/04/13 14:47:10.81,IMU,-10.74,-30.76,-979.00,1.08,2.77,0.92,6.45,44.70,-35.25,27.3
2026/04/13 14:47:10.91,IMU,-11.23,-15.63,-955.57,-0.33,-1.12,-0.21,8.10,43.80,-35.55,27.2
2026/04/13 14:47:11.01,IMU,-13.67,-28.32,-973.63,0.53,-0.40,-0.21,7.65,45.30,-36.15,27.2
2026/04/13 14:47:11.11,IMU,-3.42,-31.25,-975.10,-0.27,-1.18,0.28,7.80,45.45,-34.95,27.5
2026/04/13 14:47:11.21,IMU,-17.09,-26.86,-980.96,-1.15,-0.55,2.61,7.65,44.85,-34.80,27.3
2026/04/13 14:47:11.31,IMU,-13.67,-11.72,-965.82,0.62,-1.88,-0.99,6.90,44.25,-34.05,27.0
2026/04/13 14:47:11.41,IMU,-2.44,-22.95,-969.73,-3.63,-0.45,-0.92,6.75,46.20,-34.20,27.3
2026/04/13 14:47:11.51,IMU,-20.51,-26.86,-971.19,-2.31,-1.07,1.40,8.25,45.90,-35.70,27.2
2026/04/13 14:47:11.61,IMU,-16.11,-28.81,-980.96,-2.20,-0.95,1.96,7.35,44.85,-35.55,27.2
2026/04/13 14:47:11.71,IMU,-9.77,-37.11,-969.24,0.37,-2.09,-0.31,7.65,45.60,-35.10,27.4
