Timestamp,Sensor,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Temp
2026/04/15 14:26:46.00,IMU,-41.02,166.50,-1050.29,-16.85,1.76,-8.27,26.70,32.55,-51.60,27.3
2026/04/15 14:26:46.10,IMU,71.29,218.75,-943.85,-7.99,5.39,-24.37,27.30,32.10,-50.55,27.5
2026/04/15 14:26:46.20,IMU,-38.09,208.01,-977.54,-3.16,21.20,-33.14,28.65,31.65,-51.00,27.5
2026/04/15 14:26:46.30,IMU,41.02,255.86,-969.73,4.53,25.76,-32.66,27.15,30.90,-51.45,27.3
2026/04/15 14:26:46.40,IMU,62.50,208.98,-954.10,1.67,8.60,-28.70,25.50,29.85,-50.85,27.5
2026/04/15 14:26:46.50,IMU,39.06,234.86,-880.37,-5.62,4.85,-13.05,27.00,30.60,-52.35,27.4
2026/04/15 14:26:46.61,IMU,32.71,225.59,-925.78,-14.50,-2.29,7.97,26.10,30.90,-51.75,27.5
2026/04/15 14:26:46.71,IMU,18.55,174.32,-961.43,-10.74,-4.37,10.84,27.30,30.60,-51.90,27.1
2026/04/15 14:26:46.81,IMU,79.59,112.79,-937.50,4.31,3.71,9.08,26.25,32.10,-51.60,27.2
2026/04/15 14:26:46.91,IMU,63.96,163.09,-979.49,9.38,5.27,-1.98,26.40,31.20,-50.70,27.2
2026/04/15 14:26:47.01,IMU,112.79,179.69,-912.11,15.69,2.41,9.67,27.30,31.05,-52.35,27.5
2026/04/15 14:26:47.11,IMU,7.81,213.87,-937.50,14.24,-6.78,7.24,25.05,30.45,-51.45,27.2
2026/04/15 14:26:47.21,IMU,64.94,233.40,-906.74,10.45,-4.78,2.12,24.90,28.50,-52.65,27.5
2026/04/15 14:26:47.31,IMU,50.29,141.60,-935.06,-6.88,1.75,6.99,25.20,28.05,-53.40,27.5
2026/04/15 14:26:47.41,IMU,2.44,170.90,-1009.28,-13.48,-2.22,-10.31,26.10,30.45,-52.50,27.5
2026/04/15 14:26:47.51,IMU,33.20,170.90,-930.66,1.09,-1.08,-9.85,25.95,30.30,-51.90,27.5
2026/04/15 14:26:47.61,IMU,86.91,199.22,-952.15,10.53,1.83,3.20,25.95,30.60,-52.35,27.3
2026/04/15 14:26:47.71,IMU,65.92,197.27,-939.94,10.12,-5.16,15.41,26.10,28.65,-51.75,27.4
2026/04/15 14:26:47.81,IMU,18.55,182.62,-955.08,-0.56,-8.12,11.11,25.35,28.65,-51.75,27.0
2026/04/15 14:26:47.91,IMU,67.87,187.50,-953.13,-7.55,-0.01,-3.30,25.35,29.40,-51.45,27.5
2026/04/15 14:26:48.02,IMU,43.46,170.90,-958.98,-7.86,-2.28,-6.02,27.15,30.15,-52.80,27.5
2026/04/15 14:26:48.12,IMU,50.29,173.83,-965.82,1.95,2.50,-8.88,25.35,30.15,-51.75,27.6
2026/04/15 14:26:48.22,IMU,60.06,177.25,-949.22,8.60,1.26,-4.27,25.80,28.95,-51.75,27.5
2026/04/15 14:26:48.32,IMU,63.96,175.29,-940.43,4.40,1.73,1.09,26.10,27.90,-52.20,27.3
2026/04/15 14:26:48.42,IMU,77.15,134.28,-930.18,-5.68,-1.73,5.53,25.35,28.65,-52.80,27.4
2026/04/15 14:26:48.52,IMU,49.80,-110.84,-750.98,-32.38,7.40,17.34,25.20,29.25,-51.90,27.6
2026/04/15 14:26:48.62,IMU,81.54,5.37,-1102.05,-83.09,2.21,17.24,25.35,34.20,-51.00,27.3
2026/04/15 14:26:48.72,IMU,84.47,192.38,-1061.04,73.98,-7.44,28.39,23.70,35.55,-49.50,27.5
