Timestamp,Sensor,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Temp
2026/04/15 14:26:46.00,IMU,-28.32,2.44,-959.47,-0.73,-0.21,-0.08,0.15,-10.50,-47.10,28.6
2026/04/15 14:26:46.10,IMU,-15.14,2.93,-976.56,-1.24,-0.15,-0.40,0.00,-11.10,-47.40,28.8
2026/04/15 14:26:46.20,IMU,-36.62,-6.35,-974.61,0.50,0.77,-1.18,0.15,-11.55,-47.10,28.8
2026/04/15 14:26:46.30,IMU,-20.02,-0.98,-1000.49,-0.62,-0.73,0.53,1.20,-11.55,-48.30,28.9
2026/04/15 14:26:46.40,IMU,-20.51,1.95,-967.77,0.39,0.50,0.15,0.15,-11.25,-46.50,28.7
2026/04/15 14:26:46.51,IMU,-35.64,-6.84,-982.42,-2.13,0.03,-0.05,-0.15,-10.80,-47.85,28.9
2026/04/15 14:26:46.61,IMU,-34.67,6.35,-979.98,0.32,-0.68,1.64,0.60,-11.10,-46.65,28.7
2026/04/15 14:26:46.71,IMU,-14.16,6.84,-976.56,-1.37,-0.66,1.35,-0.30,-11.85,-48.00,28.7
2026/04/15 14:26:46.81,IMU,-16.11,-7.81,-980.47,-0.40,-2.29,0.12,1.50,-11.25,-46.50,29.1
2026/04/15 14:26:46.91,IMU,-10.74,-2.44,-979.00,0.08,-2.40,-0.01,-0.60,-13.20,-48.00,28.7
2026/04/15 14:26:47.01,IMU,-25.39,2.93,-969.73,0.81,-0.99,0.00,1.05,-10.65,-46.65,28.8
2026/04/15 14:26:47.11,IMU,-16.11,-18.55,-979.98,-1.36,-0.92,1.53,0.30,-11.85,-47.40,28.7
2026/04/15 14:26:47.21,IMU,-12.70,1.95,-977.05,-0.87,0.27,0.47,0.90,-10.80,-47.10,28.9
2026/04/15 14:26:47.31,IMU,-11.23,-3.42,-969.24,-1.00,-2.88,-0.21,0.60,-11.10,-47.70,29.0
2026/04/15 14:26:47.41,IMU,-26.86,4.39,-989.75,-1.08,-1.00,1.11,0.30,-11.10,-46.65,29.0
2026/04/15 14:26:47.51,IMU,-19.53,4.88,-984.38,1.53,-1.83,-0.58,0.90,-10.50,-47.85,28.8
2026/04/15 14:26:47.61,IMU,-15.14,4.88,-960.94,-1.77,-1.05,0.31,0.15,-10.05,-47.85,29.1
2026/04/15 14:26:47.71,IMU,-11.72,0.00,-981.45,0.31,-1.08,3.01,0.60,-10.35,-48.00,29.0
2026/04/15 14:26:47.82,IMU,-20.02,-6.35,-983.40,-1.89,-2.27,1.32,-0.30,-11.40,-46.95,28.6
2026/04/15 14:26:47.92,IMU,-29.79,-8.79,-985.35,-2.95,0.72,2.08,0.15,-11.55,-46.80,28.9
2026/04/15 14:26:48.02,IMU,-22.46,-1.46,-979.00,-1.05,-0.32,1.08,0.45,-11.25,-47.55,28.8
2026/04/15 14:26:48.12,IMU,-22.46,-4.39,-970.70,-1.60,1.16,3.21,-0.90,-12.00,-47.10,28.9
2026/04/15 14:26:48.22,IMU,-27.34,0.49,-971.68,-1.68,-1.40,-1.31,0.60,-10.35,-46.65,28.8
2026/04/15 14:26:48.32,IMU,-27.34,-10.25,-971.68,-2.66,0.14,-0.18,0.60,-10.65,-46.95,29.1
2026/04/15 14:26:48.42,IMU,-17.09,10.74,-979.00,0.92,1.19,1.91,-1.35,-11.85,-46.65,29.0
2026/04/15 14:26:48.52,IMU,-29.79,-14.16,-967.77,0.05,1.34,3.21,0.30,-13.20,-46.65,29.1
2026/04/15 14:26:48.62,IMU,-25.88,-6.84,-974.12,-1.47,0.66,-0.20,1.20,-11.55,-46.80,28.9
2026/04/15 14:26:48.72,IMU,-24.90,-9.28,-976.07,-0.39,-2.58,1.26,0.00,-10.65,-46.35,28.9
2026/04/15 14:26:48.82,IMU,-29.30,-16.11,-975.10,0.26,-0.19,0.46,-0.90,-10.05,-47.10,28.7
2026/04/15 14:26:48.92,IMU,-17.58,-15.14,-974.12,-1.32,-1.39,-2.76,-0.45,-10.50,-46.80,29.1
