Timestamp,Sensor,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Temp
2026/04/13 14:47:10.00,IMU,-25.88,-15.14,-965.33,-0.23,-0.46,-0.44,12.15,42.90,-31.35,28.0
2026/04/13 14:47:10.10,IMU,-23.44,-12.21,-978.03,-1.19,0.82,3.01,9.60,41.40,-31.80,28.0
2026/04/13 14:47:10.20,IMU,-11.23,-16.11,-973.63,-1.22,-0.60,-1.27,10.20,42.30,-31.95,27.9
2026/04/13 14:47:10.30,IMU,-16.11,-1.95,-965.82,0.40,-2.15,-0.84,11.10,42.90,-33.15,28.0
2026/04/13 14:47:10.40,IMU,-6.84,2.44,-978.03,-1.18,0.01,-4.66,11.85,42.15,-32.55,27.9
2026/04/13 14:47:10.50,IMU,-10.74,-11.72,-981.93,-0.48,-0.54,-0.38,11.70,42.00,-33.30,27.9
2026/04/13 14:47:10.61,IMU,-15.63,-20.51,-988.77,-1.54,-1.34,-0.11,10.80,41.40,-32.10,28.0
2026/04/13 14:47:10.71,IMU,-25.88,-3.42,-980.96,-1.63,-1.33,-1.73,10.80,42.45,-34.65,28.0
2026/04/13 14:47:10.81,IMU,-22.46,-11.72,-979.00,-1.57,0.98,-0.83,10.50,42.30,-33.30,27.9
2026/04/13 14:47:10.91,IMU,-17.58,-3.91,-982.91,0.97,0.18,-0.49,11.55,42.90,-32.10,28.1
2026/04/13 14:47:11.01,IMU,-20.02,-10.74,-979.98,-1.03,-1.03,0.85,11.10,43.65,-33.15,27.6
2026/04/13 14:47:11.11,IMU,-13.67,-14.65,-970.70,-1.96,-1.84,-0.28,13.05,43.05,-32.70,28.0
2026/04/13 14:47:11.21,IMU,-15.14,-13.18,-970.70,-0.65,-1.05,1.62,12.75,41.55,-33.30,27.9
2026/04/13 14:47:11.31,IMU,-13.67,-8.79,-976.56,-1.64,-0.34,-2.28,11.10,42.90,-32.85,28.0
2026/04/13 14:47:11.41,IMU,-22.46,-29.79,-965.82,0.75,1.63,-0.42,10.95,42.75,-32.25,28.0
2026/04/13 14:47:11.51,IMU,-15.63,-17.09,-972.17,-1.39,-1.53,2.15,9.90,42.30,-32.70,28.0
2026/04/13 14:47:11.61,IMU,-19.53,-7.81,-966.80,1.73,-0.42,-0.59,11.25,42.00,-33.00,28.0
2026/04/13 14:47:11.71,IMU,-13.18,-11.72,-971.68,-1.08,-1.14,2.50,11.25,42.75,-34.80,28.0
2026/04/13 14:47:11.81,IMU,-20.51,-8.30,-987.30,-0.32,-2.32,-1.50,10.20,43.80,-32.25,27.9
2026/04/13 14:47:11.91,IMU,-18.55,-16.11,-984.86,-1.32,-0.48,1.57,11.10,43.65,-32.10,27.8
2026/04/13 14:47:12.02,IMU,-32.71,-6.84,-978.52,-0.23,-2.23,1.02,10.95,42.30,-34.05,28.0
2026/04/13 14:47:12.12,IMU,-23.93,-6.84,-972.66,-2.24,-2.31,2.34,11.25,42.75,-31.65,28.2
2026/04/13 14:47:12.22,IMU,-14.65,-14.16,-969.24,0.27,-3.63,3.57,10.95,42.30,-32.25,28.0
2026/04/13 14:47:12.32,IMU,-19.53,-17.58,-978.03,0.53,1.18,-0.66,11.70,41.55,-33.30,27.9
2026/04/13 14:47:12.42,IMU,-28.32,-5.37,-973.14,-0.28,-1.19,0.11,9.90,41.55,-32.70,27.8
2026/04/13 14:47:12.52,IMU,-16.11,-14.16,-976.07,-1.19,0.93,1.81,11.55,42.15,-32.10,28.0
2026/04/13 14:47:12.62,IMU,-20.51,-21.48,-972.17,-1.98,-1.64,-2.21,11.25,42.00,-32.25,27.9
2026/04/13 14:47:12.72,IMU,-15.63,-12.70,-979.49,-1.56,0.44,2.15,12.45,43.80,-31.20,27.9
2026/04/13 14:47:12.82,IMU,-26.86,-12.70,-974.61,0.37,-2.35,1.08,10.20,41.25,-33.30,28.0
2026/04/13 14:47:12.92,IMU,-25.88,-6.84,-972.17,-2.16,0.92,0.63,11.25,41.55,-31.95,28.0
2026/04/13 14:47:13.02,IMU,-18.55,-13.67,-984.86,-1.55,2.34,-2.29,11.10,42.15,-32.55,28.1
2026/04/13 14:47:13.12,IMU,-14.65,-12.21,-985.35,-0.93,-1.59,-2.44,11.10,41.70,-32.10,28.0
2026/04/13 14:47:13.22,IMU,-29.30,-12.70,-976.56,-2.92,-0.02,1.67,10.05,42.45,-32.10,27.9
