Timestamp,Sensor,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Temp
2026/04/13 14:47:10.00,IMU,20.02,-36.13,-976.07,0.53,1.59,1.64,9.30,39.60,-37.80,26.8
2026/04/13 14:47:10.10,IMU,20.02,-42.48,-981.93,-1.38,1.04,-2.50,9.90,39.30,-36.90,26.7
2026/04/13 14:47:10.20,IMU,49.32,-35.16,-974.61,-1.16,-0.21,0.45,9.15,39.00,-36.60,26.8
2026/04/13 14:47:10.30,IMU,5.37,-56.15,-963.87,-2.50,0.87,1.74,8.55,38.85,-36.75,26.9
2026/04/13 14:47:10.40,IMU,24.41,-42.48,-977.05,-1.18,-1.00,0.39,8.25,39.90,-38.10,27.0
2026/04/13 14:47:10.50,IMU,6.84,-40.53,-978.52,-1.79,-1.40,0.13,8.70,39.30,-37.95,27.0
2026/04/13 14:47:10.61,IMU,13.18,-50.78,-971.68,-1.84,0.09,-0.02,8.70,39.30,-36.90,26.9
2026/04/13 14:47:10.71,IMU,11.72,-30.76,-962.40,-0.32,1.44,-2.03,9.60,40.35,-37.05,26.6
2026/04/13 14:47:10.81,IMU,18.55,-35.64,-973.14,-3.39,-3.06,3.82,8.55,39.15,-36.75,26.8
2026/04/13 14:47:10.91,IMU,12.21,-29.30,-958.98,-0.79,-1.38,-7.14,8.70,39.30,-37.65,26.7
2026/04/13 14:47:11.01,IMU,14.16,-32.23,-971.19,-0.37,0.52,-1.03,8.55,39.90,-36.00,26.9
2026/04/13 14:47:11.11,IMU,14.65,-28.81,-970.70,-1.51,-0.20,-2.78,9.45,39.00,-36.60,26.8
2026/04/13 14:47:11.21,IMU,18.55,-24.90,-967.29,-2.97,-1.05,0.15,10.05,39.90,-35.70,26.8
2026/04/13 14:47:11.31,IMU,16.60,-25.39,-978.03,-0.83,-0.97,-0.49,9.30,40.65,-37.05,26.6
2026/04/13 14:47:11.41,IMU,25.39,-28.81,-968.26,-0.92,-0.79,-0.98,8.40,40.50,-37.65,27.0
2026/04/13 14:47:11.51,IMU,24.90,-30.76,-978.52,-0.61,0.21,0.56,8.40,39.30,-37.20,27.0
2026/04/13 14:47:11.61,IMU,12.21,-30.76,-960.45,-1.21,1.16,1.53,8.55,40.35,-36.75,27.0
2026/04/13 14:47:11.71,IMU,12.21,-28.81,-981.93,-1.55,1.32,0.31,9.15,40.05,-36.60,26.9
2026/04/13 14:47:11.81,IMU,20.51,-19.53,-971.19,0.11,-1.44,0.53,9.45,39.75,-35.85,26.8
2026/04/13 14:47:11.91,IMU,17.09,-23.44,-978.52,-0.51,-1.41,0.50,8.55,40.65,-37.05,26.8
2026/04/13 14:47:12.01,IMU,25.88,-27.34,-978.52,0.80,-0.08,0.56,8.70,40.05,-36.15,26.8
2026/04/13 14:47:12.12,IMU,17.58,-40.53,-976.07,-0.42,-1.37,1.23,10.35,40.65,-36.00,26.8
2026/04/13 14:47:12.22,IMU,21.48,-27.83,-964.84,-0.35,1.70,-1.29,9.30,39.90,-36.75,27.1
2026/04/13 14:47:12.32,IMU,6.35,-40.04,-979.98,-1.73,-0.46,1.13,9.45,39.30,-36.15,27.0
2026/04/13 14:47:12.42,IMU,7.32,-39.55,-968.26,1.44,-0.98,-1.11,8.10,40.50,-36.60,26.8
2026/04/13 14:47:12.52,IMU,14.65,-22.46,-968.75,-1.46,-0.22,2.90,9.45,40.80,-35.85,26.8
2026/04/13 14:47:12.62,IMU,33.20,-23.44,-969.24,-0.29,-0.08,-2.27,8.40,39.75,-36.60,26.8
2026/04/13 14:47:12.72,IMU,17.58,-24.41,-967.77,-1.80,-0.10,2.11,9.90,40.05,-36.90,27.0
2026/04/13 14:47:12.82,IMU,17.58,-23.93,-976.07,-0.52,-1.68,0.54,9.90,39.75,-35.85,27.1
2026/04/13 14:47:12.92,IMU,24.41,-18.07,-974.61,-1.24,-0.62,-0.21,9.30,39.60,-37.05,27.1
2026/04/13 14:47:13.02,IMU,20.02,-34.18,-964.84,0.15,-0.63,3.51,9.30,39.60,-36.45,26.6
2026/04/13 14:47:13.12,IMU,21.00,-34.18,-972.17,-0.64,-1.96,-0.70,9.30,39.90,-36.75,26.8
2026/04/13 14:47:13.22,IMU,10.25,-27.34,-967.29,0.63,0.16,0.30,10.35,38.85,-37.50,26.7
2026/04/13 14:47:13.32,IMU,18.07,-35.64,-973.63,-0.71,-0.31,0.14,9.45,38.55,-36.15,26.7
2026/04/13 14:47:13.42,IMU,6.84,-31.25,-970.70,-2.30,-0.53,-2.44,8.55,39.15,-35.70,27.0
2026/04/13 14:47:13.52,IMU,8.30,-30.76,-981.93,-0.17,-0.33,-1.33,8.40,42.00,-36.15,26.9
2026/04/13 14:47:13.63,IMU,19.53,-31.74,-972.17,0.72,1.27,-0.44,8.70,38.25,-36.60,26.8
2026/04/13 14:47:13.73,IMU,24.90,-32.71,-980.47,0.34,0.01,2.24,8.10,39.30,-36.90,27.0
2026/04/13 14:47:13.83,IMU,26.37,-28.81,-976.56,-0.56,-1.37,0.25,10.50,40.50,-37.65,27.0
2026/04/13 14:47:13.93,IMU,14.16,-41.02,-969.24,0.27,-0.55,1.60,9.30,38.85,-35.70,26.9
2026/04/13 14:47:14.03,IMU,21.97,-37.11,-983.89,-0.50,-2.07,1.96,10.20,38.55,-36.15,27.2
2026/04/13 14:47:14.13,IMU,11.23,-27.83,-970.21,-0.89,-0.26,0.45,8.10,40.05,-36.60,27.2
2026/04/13 14:47:14.23,IMU,20.02,-14.65,-972.66,-2.53,-0.65,-0.46,8.10,39.75,-36.15,27.0
2026/04/13 14:47:14.33,IMU,15.63,-42.97,-976.07,-1.18,0.20,-0.78,8.40,39.75,-36.15,26.9
2026/04/13 14:47:14.43,IMU,29.79,-26.37,-971.19,-0.88,-0.62,0.84,8.55,39.60,-36.00,26.8
2026/04/13 14:47:14.53,IMU,19.04,-39.06,-971.68,-0.01,-1.78,1.15,8.40,39.75,-36.15,27.0
2026/04/13 14:47:14.63,IMU,18.55,-32.23,-973.63,-2.79,1.92,2.11,8.70,40.50,-34.80,26.8
2026/04/13 14:47:14.73,IMU,9.77,-27.34,-978.52,0.67,1.65,0.14,8.40,40.05,-35.55,27.0
