Timestamp,Sensor,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Temp
2000/01/01 00:17:15.34,IMU,-72.27,-52.25,-962.89,-0.32,1.35,-1.40,-15.45,9.90,-30.30,29.8
2000/01/01 00:17:15.45,IMU,-66.41,-51.76,-972.66,-0.50,-0.92,-0.21,-14.25,10.80,-30.60,29.6
2000/01/01 00:17:15.55,IMU,-63.48,-48.34,-964.36,-0.11,-2.23,1.29,-16.65,10.50,-30.60,29.7
2000/01/01 00:17:15.65,IMU,-64.45,-53.22,-972.66,-3.81,-0.81,-3.06,-16.65,10.50,-30.90,29.2
2000/01/01 00:17:15.75,IMU,-73.24,-45.90,-979.00,-0.91,-0.89,0.76,-15.60,12.00,-30.90,29.6
2000/01/01 00:17:15.85,IMU,-70.31,-41.50,-973.63,-1.11,0.31,-2.56,-16.20,9.90,-31.05,29.8
2000/01/01 00:17:15.95,IMU,-65.43,-50.29,-966.31,-0.20,-3.79,-0.46,-15.30,12.00,-30.90,29.6
2000/01/01 00:17:16.05,IMU,-63.96,-38.57,-972.17,-1.56,0.74,0.04,-15.75,11.10,-30.75,29.6
2000/01/01 00:17:16.15,IMU,-64.45,-42.48,-976.07,-0.47,-1.36,-0.26,-15.15,9.90,-30.75,29.7
2000/01/01 00:17:16.25,IMU,-74.71,-61.52,-976.07,-1.34,-1.14,2.37,-15.15,11.10,-31.35,29.4
2000/01/01 00:17:16.35,IMU,-74.71,-41.02,-964.36,-1.59,-1.66,1.03,-14.40,9.90,-31.35,29.6
2000/01/01 00:17:16.45,IMU,-64.45,-41.99,-966.31,0.81,-0.31,-1.17,-15.30,10.50,-30.60,29.5
2000/01/01 00:17:16.55,IMU,-62.99,-44.92,-970.70,0.23,-2.35,-0.19,-15.60,10.80,-32.25,29.6
2000/01/01 00:17:16.65,IMU,-67.87,-42.97,-962.40,-1.55,0.70,0.03,-15.30,9.75,-30.15,29.6
2000/01/01 00:17:16.75,IMU,-65.43,-48.83,-969.73,0.31,0.60,-1.03,-17.10,9.75,-31.95,29.6
2000/01/01 00:17:16.85,IMU,-81.05,-49.80,-969.73,1.17,-2.77,0.15,-15.45,9.90,-31.35,29.7
2000/01/01 00:17:16.96,IMU,-68.36,-39.55,-978.52,0.92,0.77,1.14,-15.15,11.10,-30.30,29.6
2000/01/01 00:17:17.06,IMU,-66.41,-44.92,-960.94,-2.01,-0.75,-0.59,-14.25,9.75,-31.20,29.5
2000/01/01 00:17:17.16,IMU,-60.06,-36.62,-963.38,-2.31,0.60,0.61,-15.30,10.05,-30.90,29.6
2000/01/01 00:17:17.28,IMU,-59.57,-42.97,-963.87,-1.07,-0.92,-3.08,-15.45,11.10,-31.05,29.4
2000/01/01 00:17:17.38,IMU,-67.38,-42.97,-958.01,0.08,0.97,1.90,-15.15,10.65,-31.05,29.6
2000/01/01 00:17:17.48,IMU,-72.75,-44.43,-957.52,0.12,-0.02,-2.03,-14.25,9.30,-30.60,29.8
2000/01/01 00:17:17.58,IMU,-53.71,-49.80,-967.29,-1.46,-2.27,-1.84,-14.55,12.30,-30.90,29.5
2000/01/01 00:17:17.69,IMU,-46.39,-50.78,-958.01,-0.23,-2.06,0.98,-15.75,10.65,-30.75,29.8
2000/01/01 00:17:17.79,IMU,-69.34,-41.50,-972.66,0.00,1.97,-0.10,-15.30,10.80,-31.95,29.8
2000/01/01 00:17:17.89,IMU,-62.99,-45.41,-969.73,-1.28,0.11,-1.37,-14.70,11.10,-31.35,29.6
2000/01/01 00:17:17.99,IMU,-64.45,-54.20,-975.10,-0.52,0.95,-2.50,-14.85,10.05,-30.90,29.8
2000/01/01 00:17:18.09,IMU,-54.69,-53.22,-967.77,-0.02,-1.36,1.28,-14.40,10.65,-31.80,29.7
2000/01/01 00:17:18.19,IMU,-60.55,-47.36,-973.63,-1.21,0.01,-0.47,-14.55,9.00,-31.20,29.6
2000/01/01 00:17:18.29,IMU,-58.11,-33.20,-972.17,-0.97,0.54,-0.37,-14.70,9.60,-31.80,29.8
2000/01/01 00:17:18.39,IMU,-74.71,-45.90,-964.36,-1.50,0.71,-1.18,-14.40,8.85,-30.00,29.8
2000/01/01 00:17:18.49,IMU,-58.59,-35.16,-968.75,-0.57,2.64,-0.55,-14.55,11.25,-29.10,29.6
2000/01/01 00:17:18.59,IMU,-61.52,-55.18,-958.98,-1.02,-1.10,-1.35,-14.85,10.05,-31.20,29.6
2000/01/01 00:17:18.69,IMU,-70.80,-44.43,-971.19,-2.62,-2.09,2.20,-16.65,10.80,-32.70,29.4
2000/01/01 00:17:18.79,IMU,-55.18,-41.02,-968.75,-2.15,1.02,-1.74,-13.95,10.35,-31.05,29.4
2000/01/01 00:17:18.89,IMU,-57.62,-43.95,-967.29,-1.84,0.48,0.89,-16.20,9.90,-31.05,29.6
2000/01/01 00:17:18.99,IMU,-70.80,-51.27,-961.91,-2.14,-0.44,0.96,-15.15,11.10,-30.30,29.7
2000/01/01 00:17:19.09,IMU,-71.29,-21.97,-969.24,-1.73,-0.37,-4.15,-15.60,12.30,-29.85,29.6
2000/01/01 00:17:19.20,IMU,-62.50,-50.29,-969.24,-0.45,-1.52,-2.11,-15.75,8.40,-29.70,29.6
2000/01/01 00:17:19.30,IMU,-65.43,-46.88,-968.75,-1.32,1.40,0.30,-14.40,10.65,-30.30,29.6
2000/01/01 00:17:19.40,IMU,-58.59,-45.90,-977.54,-0.49,1.00,0.59,-15.15,9.60,-31.35,29.4
2000/01/01 00:17:19.50,IMU,-71.78,-44.92,-964.36,0.02,2.00,-0.96,-14.85,10.80,-31.20,29.6
2000/01/01 00:17:19.60,IMU,-70.80,-41.02,-980.96,-1.60,-1.06,2.63,-15.15,10.35,-30.30,29.3
2000/01/01 00:17:19.70,IMU,-63.96,-41.02,-971.68,-2.53,1.02,-0.63,-14.85,11.25,-32.70,29.6
2000/01/01 00:17:19.80,IMU,-66.41,-44.92,-971.68,0.46,-0.47,0.52,-15.15,10.35,-31.35,29.6
