Timestamp,Sensor,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Temp
2026/04/13 14:47:10.00,IMU,-39.06,0.98,-979.98,-1.98,-0.56,0.74,10.05,43.95,-36.75,28.2
2026/04/13 14:47:10.10,IMU,-26.86,3.42,-970.21,0.64,-2.01,2.13,9.60,44.40,-36.45,27.9
2026/04/13 14:47:10.20,IMU,-33.69,2.93,-985.84,-0.98,0.97,1.24,10.20,44.55,-37.20,28.2
2026/04/13 14:47:10.30,IMU,-38.57,-8.30,-981.93,0.18,0.77,-0.41,10.05,43.65,-35.70,28.0
2026/04/13 14:47:10.40,IMU,-33.69,-3.42,-980.47,-0.19,-0.62,-3.53,8.70,44.85,-37.20,28.2
2026/04/13 14:47:10.50,IMU,-32.71,2.93,-979.49,-1.98,-1.03,0.00,10.05,44.40,-36.45,28.0
2026/04/13 14:47:10.61,IMU,-35.64,9.28,-978.03,-0.24,0.44,1.65,9.60,42.90,-37.50,28.2
2026/04/13 14:47:10.71,IMU,-31.25,7.32,-983.89,-0.24,-0.29,-1.08,9.30,44.40,-37.05,28.0
2026/04/13 14:47:10.81,IMU,-33.69,-10.74,-975.59,-1.93,1.90,-0.64,9.45,44.25,-36.60,28.2
2026/04/13 14:47:10.91,IMU,-29.79,-5.86,-979.49,-0.71,-1.52,0.18,9.45,44.25,-36.60,28.2
2026/04/13 14:47:11.01,IMU,-21.97,-3.42,-988.77,-0.87,-2.21,3.72,9.15,44.85,-36.15,28.2
2026/04/13 14:47:11.11,IMU,-22.95,-13.18,-975.10,0.27,-1.63,-0.46,10.50,44.25,-37.95,28.4
2026/04/13 14:47:11.21,IMU,-37.60,-2.44,-969.24,-1.66,-1.42,-0.49,10.20,44.25,-38.25,28.2
2026/04/13 14:47:11.31,IMU,-38.09,-7.32,-968.26,-0.98,-0.40,-0.84,9.45,44.25,-37.65,28.2
2026/04/13 14:47:11.41,IMU,-27.34,-1.95,-982.91,-0.66,-4.13,1.49,8.70,43.05,-35.10,28.3
2026/04/13 14:47:11.51,IMU,-29.79,9.28,-987.79,-0.27,-2.76,0.04,9.15,44.85,-36.90,28.2
2026/04/13 14:47:11.61,IMU,-33.20,10.25,-979.98,-2.03,-0.17,1.18,10.80,42.15,-37.05,28.2
2026/04/13 14:47:11.71,IMU,-36.62,-13.67,-972.17,0.34,-0.84,-0.67,9.15,44.55,-36.15,28.2
2026/04/13 14:47:11.81,IMU,-40.04,3.91,-979.98,-0.15,0.36,0.56,10.95,46.05,-36.15,28.0
2026/04/13 14:47:11.92,IMU,-40.53,-4.39,-974.61,-2.99,-2.19,-0.17,11.25,43.50,-37.65,28.1
2026/04/13 14:47:12.02,IMU,-34.18,-10.74,-978.52,0.40,-0.61,-0.43,10.95,44.55,-35.85,28.2
2026/04/13 14:47:12.12,IMU,-41.02,-2.93,-981.45,-3.73,-2.27,0.73,11.70,43.80,-36.15,28.0
2026/04/13 14:47:12.22,IMU,-42.97,3.91,-978.52,-1.21,-2.23,-2.38,10.80,43.20,-36.00,28.4
2026/04/13 14:47:12.32,IMU,-44.92,3.91,-970.21,-0.94,-0.18,1.67,10.20,44.55,-37.20,28.1
2026/04/13 14:47:12.42,IMU,-25.39,-16.60,-974.61,-1.57,-2.47,3.29,8.40,44.85,-35.85,28.1
2026/04/13 14:47:12.52,IMU,-33.20,4.88,-971.68,-2.98,-2.70,-2.10,10.05,43.65,-36.45,28.4
2026/04/13 14:47:12.62,IMU,-28.81,1.46,-975.59,-0.13,0.43,-0.31,10.05,45.45,-36.75,28.2
2026/04/13 14:47:12.72,IMU,-25.39,-0.49,-971.68,-2.09,-1.48,2.37,9.30,44.70,-37.80,28.1
2026/04/13 14:47:12.82,IMU,-30.76,-5.86,-976.56,1.21,1.66,-0.36,10.50,44.25,-36.60,27.9
2026/04/13 14:47:12.92,IMU,-21.97,-12.21,-968.75,-0.67,-0.57,-2.34,9.90,44.25,-36.90,28.1
2026/04/13 14:47:13.02,IMU,-37.11,-1.46,-978.03,-1.84,-0.31,0.84,10.05,45.45,-37.05,28.2
2026/04/13 14:47:13.13,IMU,-24.90,0.98,-974.61,0.18,0.27,-0.70,9.00,43.95,-34.95,28.2
2026/04/13 14:47:13.23,IMU,-40.53,-12.70,-977.05,-1.97,-2.06,1.06,10.20,44.55,-36.15,28.2
2026/04/13 14:47:13.33,IMU,-30.76,4.88,-975.10,-1.16,1.15,0.75,10.50,45.30,-36.90,28.0
